"","Sub1","Gnas","Ctsd","Kif1a","Tcf25","Aldoa","Pkm","Slc25a3","Hspa8","Rpl41","Gabarapl1","Gm6682","Oxct1","Atp6v0c-ps2","Purb","Atp6v1a","Eif4g2","Rps27a","Ubc","Cltc","Tspan3","Aplp2","Lars2","Tspan7","Ndufa4","Sumo1","Rpl7","Dynlrb1","Ndufv3","Gstm5","Gm15421","Ndufa5","Cox7b","Rnasek","Uqcrh","Ndufb10","Eif4a2","Atp5j2","Ldhb","Atp5f1","Ndufa13","Uqcrc2","Ndufv2","Atp5j","Ndufa11","Ndufa6","Atp6v1f","Ndufb9","Akr1a1","Mdh1","Vdac3","Sod1","BC002163_loc1","Ndufb5","Hspe1","Gpx4","Cox4i1","Npm1","Myl12b","Hint1","Gpi1","Atp6v1e1","Atp5h","Gm5506_loc1","Gabarapl2","Atp5g3","Acot7","Tuba1b","Slc25a4","Chchd2","Atp5b","Prdx2","Ckb","Morf4l2","Tuba1a","Ran","Atp6ap2","Skp1a","Ppp2r1a","Cst3","Ubb","Mdh2","Ndufa12","Pgk1","Atp5a1","Atp5o","Ghitm","Uqcrq","Ndufb8","Cox6a1","Camk2n1","Slc1a2","H2afz","Ubl5","Timm8b","Vps29","Calm1","Ppia","Nap1l1","Grcc10","Tubb5","Rps28","Rps24","Rps15a-ps4","Rpl32","Rps20","Rplp1","Sumo2","Rpl39","Polr2l","Rps29","Cox8a","Vmp1","Tomm7","Tpi1","Atp5l","Atp5e","Mif","Atp5k","Cox7c","Cox6b1","Cox7a2","Usmg5","Cox6c","Atp6v1d","Nedd8","Atpif1","Atp5c1","Scg5","Ndufb4","Uqcr10","Nme1","Ndufc1","Cycs","2010107E04Rik","Ndufa1","Uqcr11","Meg3","Luc7l3","Pea15a","Ttc3","Gdi1","G3bp2","Arl6ip1","Hsp90aa1","Tmod2","Ywhaq","Atxn7l3b","Serinc1","Sparcl1","Hsp90ab1","Ywhaz","Matr3","Actg1","H3f3b","Actb","Gpm6a","Dynll1","Gpm6b","Gstp1","Itm2b","Fkbp1a","Sh3bgrl3","Calm2","Brk1","Nmt1","Capza2","Fth1","Tmsb4x","Slc22a17","Ywhab","Prkar1a","Psap","Tmem30a","Ncam1","Map1a","Dpysl2","Cfl1","App","Map1b","Syt11","Sptbn1","Cpe","Aplp1","2900097C17Rik","Ywhae","Rtn3","Serbp1","Eef1a1","Canx","Pja2","Calm3","Arf1","Trim2","Ppp3ca","Zeb2","Tppp","Tcf4","Gnao1","Gria2","Atp2b1","Rab6a","Ctsb","Prnp","Rtn4","Nptn","Prkcb","Kif1b","Atp2a2","Egr1","Scd2","Hmgcs1","Taldo1","Ctsl","Ptma","Ftl1","Cd81","1810037I17Rik","Prdx1","Malat1","Ptn","Pcdh9","Ptprd","Rnf7","Sf3b1","Eef1b2","Myeov2","Prrc2c","H3f3a","Rps12","Amd2","Ank3","Cisd1","Ndufs7","Oaz1-ps","Eef2","Hsp90b1","Metap2","Naca","Myl6","Sec61g","Ccdc88a","Gnb2l1","Gm15772","Eif4a1","Gabarap","Psmb6","Nme2","Spag9","Rpl23","Rpl19","Eif1","Rpl27","Mapt","Ddx5","Rpl38","Rpl36al","Actr10","Psma3","Erh","Srsf5","Rbm25","Dync1h1","Prpf4b","Hnrnpk","Ndufs6","Sdha","Cetn3","Rps23","Btf3","Vdac2","Selk","Spcs1","Hnrnpc","Dad1","Bnip3l","Tpt1","Mbnl2","Cct5","Pabpc1","Rpl8","Tnrc6b","Rbx1","Tmbim6","Pfdn5","Rpl31-ps12","Rpl35a","Cox17","Rpl24","Son","Gtf2h5","Mpc1","Psmb1","Tceb2","Gm6402","Ndufa7","Rps18","Cox7a2l","Paip2","Pura","Ndufa2","Rps14","BC031181","Ier3ip1","Fau","Hspa5","Rab14","Rpl35","Ssb","Dync1i2","Psmc3","Srp14","Serf2","Hypk","Dstn","Csnk2a1","Eif2s2","Rbm39","Top1","Serinc3","Psma7","Rps21","Sec62","Rps3a1","Csde1","Psma5","Sars","Sep-15","Zranb2","Sdcbp","Rab2a","Sfrs18","Dnaja1","Vcp","Atp6v1g1","Rps6","Tmem59","Scp2","Atp6v0b","Psmb2","Tmem50a","Srrm1","Cdc42","Eif4g3","Minos1","Sdhb","Park7","Kmt2e","Rpl5","Gm13826","Fis1","Arpc1a","Pdap1","Pomp","Hmgb1","Shfm1","Mrps33","Hnrnpa2b1","Cbx3","Mat2a","Cct7","Cnbp","Gm6654","Ndufa3","Rps9","Clcn4-2","Rps5","Rps16","Rpl13a","Ndufc2","Rps3","Fam168a","1110004F10Rik","Rps13","Eif3c","Rplp2","Lamp1","Tmem66","Clcn3","Uba52","Rpl18a","Ndufb7","Tecr","Vps35","Psmd7","Hsbp1","Map1lc3b","Elavl3","Sep-07","Rps25","Psma4","Rpl4","Ppib","Nedd4","Tma7","Rpsa","Ndufb11","Slc25a5","Atp6ap1","Atrx"
"1772062128_G11",0,1,1,0,2,0,1,6,2,2,0,1,0,3,1,0,0,10,8,0,0,0,1,0,5,0,4,2,4,4,0,6,0,1,10,0,0,6,0,4,0,1,3,10,0,0,1,2,2,0,1,0,2,4,2,1,7,3,4,4,1,1,2,0,2,4,4,4,10,4,1,0,5,2,32,1,2,6,0,0,1,0,2,2,0,0,9,5,1,3,1,7,2,2,2,3,14,22,0,6,2,7,7,1,8,9,20,0,8,9,14,1,2,7,4,8,13,3,0,15,19,6,6,11,3,0,3,2,3,11,8,0,1,0,1,4,5,0,0,2,0,3,0,7,20,5,9,2,2,5,33,3,2,6,1,20,1,5,28,53,8,4,0,0,2,0,1,61,38,3,1,0,1,5,3,0,0,3,20,3,19,0,1,4,0,2,1,0,16,0,0,9,5,0,1,3,4,1,0,4,0,0,0,2,2,0,1,3,3,1,33,32,12,3,16,8,11,1,6,1010,16,9,2,29,0,4,8,5,5,5,4,1,0,3,2,4,15,0,3,2,8,0,0,1,1,3,1,0,0,1,3,3,1,2,4,2,2,0,1,0,0,2,0,2,2,0,3,0,6,1,2,5,0,4,0,7,5,0,0,4,8,0,2,0,0,4,2,1,4,3,0,5,2,5,4,2,5,6,0,1,1,4,2,0,7,2,0,5,0,6,5,4,0,0,0,1,0,3,0,1,3,9,7,6,4,0,0,2,0,0,0,5,1,0,2,7,4,5,7,2,5,0,3,1,5,0,4,2,2,6,7,1,0,1,3,1,0,8,1,0,2,2,4,4,2,0,4,4,4,1,20,2,2,19,0,2,1,0,6,0,12,1,13,6,0,6,4,0,14,2,0,4,3,0,11,5,4,3,3,0
"1772060225_C04",0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,3,0,1,1,1,1,1,4,1,0,7,2,0,0,1,2,3,0,1,2,2,0,1,2,2,2,0,1,0,1,0,0,6,1,1,2,2,1,4,0,1,0,2,2,0,3,0,2,3,1,29,3,1,1,0,3,0,2,2,1,2,3,1,4,0,1,0,0,2,0,3,3,13,12,0,2,1,3,6,2,9,3,1,1,3,2,19,3,1,0,0,2,6,2,5,5,2,3,2,2,0,1,1,3,1,2,2,1,3,3,1,2,2,1,0,1,0,1,0,2,5,1,2,3,5,0,5,0,1,1,5,4,1,4,15,9,2,1,2,8,2,1,0,43,13,0,0,0,0,0,2,1,0,3,6,0,8,0,0,7,2,2,0,1,4,0,0,0,0,3,0,1,2,2,0,1,0,0,0,2,0,1,0,1,0,0,13,1,9,5,15,4,10,1,10,290,2,9,4,3,1,4,0,0,1,2,3,1,1,0,5,3,1,1,1,0,1,2,2,0,2,0,1,0,0,3,0,0,1,1,1,1,0,4,1,0,0,0,0,1,2,0,1,0,1,1,1,2,0,1,1,0,1,0,2,0,0,1,4,0,2,5,0,0,2,1,1,5,3,1,5,1,3,1,0,0,2,2,2,1,8,3,0,4,0,0,4,4,0,0,1,0,1,4,1,0,4,1,3,2,0,1,2,0,1,1,1,3,3,3,2,5,0,0,4,0,2,0,3,3,2,0,5,0,0,2,4,0,3,1,1,1,0,1,0,1,1,3,4,4,3,3,3,3,4,1,8,0,0,6,2,3,1,2,2,0,6,0,1,0,0,7,2,1,9,1,0,2,1,1,1,4,0,0,1,4
"1772060225_D09",2,1,1,1,3,1,1,2,0,0,1,0,0,2,0,1,2,2,8,0,0,1,8,2,3,1,0,3,0,3,2,2,0,0,4,1,0,2,2,2,1,1,3,2,1,1,2,1,2,1,0,3,0,0,1,2,6,2,1,4,1,5,1,1,6,2,0,6,5,1,2,0,5,2,16,0,2,2,2,0,1,0,2,0,1,2,0,4,0,5,1,1,1,2,0,2,20,18,1,1,0,2,1,3,2,1,4,0,2,1,7,1,5,1,0,0,3,1,2,4,4,1,5,5,5,0,3,2,1,4,5,2,0,1,2,0,2,24,1,2,2,2,2,4,6,3,2,3,6,0,3,0,0,0,9,12,2,1,13,13,4,2,3,5,1,2,0,53,21,0,1,1,1,1,3,0,2,4,13,0,11,1,2,10,0,2,0,0,4,2,1,3,0,0,2,1,4,0,1,2,5,0,0,0,5,0,0,1,2,1,12,8,13,1,7,4,11,1,10,216,6,3,12,13,2,3,1,0,12,1,4,2,0,1,7,1,0,5,0,1,5,1,1,2,3,2,3,0,0,2,0,0,1,2,3,0,2,0,3,2,1,1,0,1,0,1,3,3,1,2,1,5,4,2,2,4,4,0,5,1,2,1,1,1,2,2,1,1,2,3,0,4,2,0,3,1,4,1,0,0,3,2,2,4,9,0,4,7,0,4,2,4,1,0,3,3,2,1,2,0,1,1,7,3,3,0,1,1,2,0,1,2,1,3,3,2,2,0,2,3,3,6,6,1,0,3,3,1,2,2,2,2,1,4,6,1,3,4,0,0,0,3,6,5,8,2,6,1,3,4,2,1,1,5,1,1,1,0,4,1,4,3,5,0,2,7,3,3,15,0,0,4,1,2,2,2,4,0,2,4
"1772062113_C09",1,1,2,1,0,0,0,0,2,0,0,0,0,0,1,6,0,4,1,0,2,2,0,0,1,1,2,0,3,8,1,0,3,1,1,0,3,2,4,2,0,2,3,1,2,4,2,3,3,1,3,0,2,3,0,0,5,2,0,0,0,2,2,0,2,2,3,1,4,1,3,0,6,2,16,0,2,3,1,0,3,0,0,1,2,1,3,0,0,4,1,0,2,2,1,1,3,6,0,1,2,0,1,1,2,1,4,0,1,0,5,1,8,0,0,1,1,3,1,1,3,0,2,1,0,0,0,2,2,0,1,1,0,5,2,2,1,0,0,2,0,3,0,4,14,2,5,2,5,0,9,1,0,0,3,8,0,4,8,35,8,3,1,3,3,1,0,17,3,1,1,2,0,0,2,0,0,0,11,0,3,0,0,5,1,0,1,0,4,1,1,2,0,1,1,1,4,0,0,0,0,0,0,0,2,0,0,4,0,0,19,5,4,0,3,3,8,3,6,163,10,2,3,9,1,3,3,2,7,3,1,1,2,3,2,0,3,1,2,2,0,1,1,0,0,1,4,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,3,3,1,1,3,2,5,0,0,3,0,1,1,3,1,1,2,1,5,0,13,3,1,1,6,0,0,2,0,2,2,1,2,5,0,1,0,2,0,0,5,0,0,1,1,0,2,0,0,0,0,0,8,2,0,0,0,1,3,0,2,0,0,1,2,3,0,6,0,1,1,6,0,1,1,1,2,1,3,3,3,4,0,4,0,1,1,0,2,1,2,3,2,0,1,6,0,1,4,10,0,1,3,0,2,3,1,2,0,5,0,2,3,0,6,1,0,21,0,1,3,3,0,0,6,2,1,0,0
"1772062128_B04",2,2,1,5,2,7,1,9,11,2,0,1,0,9,1,6,8,5,0,0,6,2,0,0,1,2,5,1,1,1,0,0,2,1,1,0,1,0,0,10,3,2,7,7,3,0,4,0,0,13,2,0,5,0,1,2,4,3,0,1,0,3,6,2,5,1,1,0,11,5,2,0,24,0,50,1,4,2,1,2,0,1,3,1,3,7,7,2,7,3,0,0,0,3,3,5,7,18,0,3,1,1,2,7,8,6,21,3,2,2,5,8,1,0,0,0,8,17,8,4,8,6,5,7,1,0,0,5,1,2,1,3,1,6,8,0,14,0,0,2,0,0,0,19,50,3,12,0,5,1,24,4,1,8,5,13,0,6,3,43,12,5,4,1,3,0,3,44,38,5,0,1,1,0,0,0,3,0,14,4,3,0,0,11,0,0,5,2,12,2,0,3,0,4,2,2,4,2,0,0,0,0,3,1,3,1,1,8,1,0,23,16,8,7,13,9,9,3,13,729,22,11,5,21,4,6,6,4,9,4,3,0,1,1,3,2,5,8,0,5,0,0,4,4,8,1,1,4,1,5,5,6,4,4,12,5,2,0,2,0,1,0,2,0,1,2,6,2,5,1,2,6,10,1,1,2,6,4,0,16,4,1,0,3,2,3,2,1,5,0,0,1,7,7,5,0,3,1,0,0,2,4,0,0,8,3,0,11,0,2,2,0,4,0,2,2,7,0,2,1,3,3,4,10,1,0,1,2,1,2,1,0,4,9,6,3,2,3,7,0,4,0,3,0,6,0,5,0,1,3,3,5,0,0,1,9,0,1,2,0,2,5,6,4,9,1,3,1,0,1,9,1,0,0,1,2,1,0,0,3,21,1,10,0,1,4,3,1,9,4,1,4,6,1,4,3,0,2,2,0
"1772063062_F08",4,0,0,1,1,9,2,0,4,0,0,3,0,3,4,6,2,1,4,2,3,0,5,0,4,3,0,3,5,10,2,1,6,0,5,1,2,1,5,5,1,0,0,1,3,2,4,3,1,6,1,2,0,2,3,3,6,0,2,1,1,1,2,6,6,3,3,1,2,1,3,3,5,1,14,3,0,4,2,0,0,4,0,2,3,4,1,0,1,1,9,7,7,0,1,1,24,30,1,2,5,4,5,2,3,2,4,5,3,0,6,3,4,1,5,8,1,12,3,4,13,6,7,6,3,1,4,3,1,3,1,5,1,2,0,3,1,8,1,4,4,3,2,5,13,1,9,2,7,1,5,2,3,3,2,3,2,7,7,6,2,4,0,28,4,0,1,11,6,0,4,0,1,2,0,0,4,2,9,2,8,5,1,5,3,2,0,2,3,2,3,2,0,0,1,2,2,2,0,1,3,7,1,4,2,0,5,3,1,1,13,7,6,1,3,3,3,4,9,470,5,4,1,5,1,1,4,3,6,1,1,3,0,0,9,0,4,1,1,2,1,2,2,0,0,0,1,1,0,1,3,2,1,2,1,3,0,0,4,2,1,0,1,1,4,2,0,4,1,4,3,3,2,1,0,5,5,3,1,0,1,3,2,0,5,4,1,0,3,4,3,6,1,1,0,1,3,1,1,1,1,4,2,2,8,1,0,3,2,3,5,4,2,2,3,4,1,0,2,1,2,1,0,5,1,2,3,0,2,2,3,0,3,2,7,2,1,3,3,1,4,2,3,1,1,0,2,1,2,2,2,4,4,4,3,2,1,3,1,5,2,4,5,3,1,0,1,5,0,2,5,0,0,4,2,2,1,2,1,1,5,1,2,1,1,2,2,2,9,2,2,3,4,2,1,9,2,1,0,0
"1772063068_E05",1,1,1,2,2,3,2,1,2,0,0,2,0,2,1,1,1,0,3,0,0,3,18,2,5,1,1,4,2,3,1,0,1,3,1,3,1,1,0,4,2,3,0,4,2,0,0,3,2,2,2,0,2,5,2,1,8,0,2,1,5,1,1,3,2,3,2,0,2,0,0,0,4,2,39,2,1,3,0,3,2,0,4,3,1,3,0,2,3,2,4,7,1,3,1,2,15,17,1,0,1,4,10,6,5,9,12,2,1,4,17,0,5,6,4,6,6,4,3,7,3,8,2,2,4,1,4,1,5,8,3,1,3,1,3,2,2,81,2,0,3,3,0,3,4,1,3,1,10,0,6,1,0,6,2,9,1,12,8,8,2,5,4,3,1,1,1,30,21,1,0,0,4,0,4,2,1,2,10,1,11,2,0,15,0,0,0,0,2,2,1,3,0,1,4,1,4,5,1,5,2,0,0,1,4,1,7,2,0,3,12,12,13,1,12,2,3,7,14,254,5,3,2,2,4,4,2,2,5,1,3,2,0,2,3,2,2,3,2,3,2,1,2,2,0,2,3,1,1,9,0,2,1,3,5,3,1,0,2,0,1,1,0,0,1,1,3,1,1,3,0,7,1,1,0,0,1,4,0,0,4,1,3,0,2,3,2,0,5,14,1,5,2,4,3,3,4,0,0,2,6,4,3,0,8,2,1,6,2,11,0,7,1,1,1,1,1,1,1,2,1,7,8,2,1,0,0,1,1,1,0,3,1,0,3,5,1,2,4,0,1,6,7,1,0,0,2,2,2,3,9,1,1,4,7,1,2,3,1,2,0,1,7,2,3,1,0,6,4,0,6,5,1,5,1,3,1,2,0,1,9,0,7,1,1,10,1,3,9,4,2,3,2,0,2,4,2,2,1,1
"1772062114_C06",0,1,0,7,0,3,1,0,2,3,0,1,1,3,0,0,1,0,0,1,0,1,2,1,3,0,10,2,0,1,0,1,1,1,1,5,2,5,0,0,3,0,0,1,0,1,0,4,1,1,2,2,1,3,0,2,7,0,0,2,3,5,1,0,4,1,1,3,2,2,0,2,9,2,14,4,5,6,1,0,1,4,1,0,3,2,0,4,1,1,3,1,1,4,1,2,9,19,0,0,1,5,0,1,4,6,8,1,2,0,8,1,3,2,1,3,2,1,2,6,4,3,2,5,1,1,0,2,1,0,0,0,0,2,1,0,1,6,6,4,3,3,0,6,15,1,5,0,5,0,5,6,1,2,11,10,2,2,16,19,1,3,1,0,4,1,0,67,23,1,1,1,3,0,5,0,0,2,16,0,4,2,0,10,0,2,2,1,2,2,0,1,1,2,2,2,5,0,0,4,5,0,2,8,0,1,1,4,2,0,13,10,12,3,16,7,9,0,6,214,9,10,11,4,0,5,0,0,5,2,9,2,1,1,7,3,6,0,1,4,0,1,0,0,2,0,3,0,1,0,1,1,2,2,4,6,4,2,1,2,0,1,2,1,5,1,2,1,0,7,0,2,1,1,0,3,1,0,0,0,2,2,1,2,4,3,3,4,2,4,1,2,3,3,5,2,2,3,0,1,1,1,3,1,4,0,1,3,0,5,0,0,1,0,1,3,3,2,2,0,5,1,5,6,3,1,4,2,5,0,1,7,0,2,2,6,2,1,0,0,3,1,4,0,1,1,1,1,1,0,4,1,0,1,7,1,1,4,1,1,2,2,3,6,4,0,2,5,2,2,6,1,0,3,4,7,3,1,0,0,10,1,8,5,1,0,2,3,14,0,3,3,0,0,1,5,0,1,2,2
"1772060224_C08",4,5,0,2,6,9,6,3,17,3,2,6,4,5,1,5,7,1,3,3,3,2,2,7,7,4,6,6,6,4,5,1,10,0,7,2,11,15,4,2,0,9,1,9,2,0,4,5,4,21,2,4,2,1,0,2,4,4,9,0,5,13,7,6,3,3,1,8,5,3,20,3,1,3,28,4,8,6,1,1,7,5,1,6,5,4,0,3,1,1,14,6,4,5,1,1,47,29,4,3,11,1,9,14,8,4,4,6,4,1,6,2,4,2,8,3,3,4,7,9,17,10,13,8,3,4,2,3,4,0,1,10,0,7,5,0,1,15,3,2,16,4,4,5,52,1,3,6,6,4,33,8,8,19,1,22,14,14,5,8,8,5,0,34,8,0,3,13,17,1,9,2,3,8,8,1,7,0,26,9,12,5,6,7,12,2,11,1,11,3,2,9,2,2,10,2,3,4,2,10,3,4,0,11,6,5,23,9,5,6,11,9,5,1,3,4,2,2,13,485,6,6,6,8,5,2,1,2,2,0,3,4,0,0,4,0,6,3,3,8,5,1,2,1,0,1,5,4,2,3,0,4,0,3,3,3,4,3,2,3,2,0,2,1,3,0,0,1,1,2,4,7,3,4,2,4,5,5,2,0,3,0,1,6,5,7,2,3,4,7,0,3,1,1,3,2,5,2,1,4,1,3,1,0,4,5,5,5,3,6,2,4,0,3,2,5,0,1,0,1,7,3,8,12,2,1,4,0,4,2,5,2,5,2,6,4,4,5,2,2,6,0,8,0,2,8,4,5,3,5,2,2,2,6,4,1,1,4,1,3,1,2,4,5,1,3,2,1,3,1,13,3,1,8,1,2,3,4,3,4,10,6,4,2,1,3,1,2,19,4,1,12,0,0,8,6,1,2,3,1
"1772063061_D05",4,0,0,9,5,2,0,2,2,2,0,1,0,5,2,2,0,0,0,0,0,0,18,2,6,2,2,2,1,7,0,6,2,2,7,0,0,0,0,4,1,1,0,5,2,4,1,0,4,0,4,1,2,0,0,1,3,0,3,2,4,0,12,0,2,7,1,0,6,4,1,2,7,2,22,1,0,1,3,0,1,0,2,1,1,0,0,2,2,5,0,2,2,4,3,0,11,7,2,4,0,6,7,2,3,8,2,0,0,2,12,1,7,2,6,2,7,2,3,14,2,2,2,11,0,0,2,0,0,2,2,0,0,1,0,3,6,16,7,12,1,0,0,7,22,2,9,5,5,0,21,5,2,0,6,14,4,0,9,12,9,1,2,12,1,0,0,73,39,0,2,1,2,4,3,4,0,1,19,0,8,2,0,22,4,1,4,0,0,0,4,3,0,0,0,4,5,1,0,0,0,2,0,3,2,1,2,4,4,1,14,0,8,0,13,2,9,4,4,387,8,6,8,18,0,3,2,3,4,0,8,3,0,2,9,5,4,7,3,2,0,2,0,0,1,4,1,0,0,3,1,0,1,2,4,3,2,2,1,0,2,8,1,1,4,0,7,0,0,2,2,4,8,2,1,4,1,2,5,2,2,1,1,1,1,0,2,1,5,5,0,2,9,7,4,4,9,4,2,0,0,0,1,1,5,0,10,7,1,5,0,7,2,0,3,1,3,2,0,4,0,1,12,17,2,2,0,2,1,1,0,6,5,1,4,1,3,3,4,3,6,2,7,0,1,1,2,0,0,1,4,0,8,0,8,0,7,0,0,0,1,6,2,2,1,3,0,2,9,2,16,4,1,0,0,2,5,3,2,4,11,0,13,0,0,4,2,4,17,5,2,5,1,0,0,2,0,1,1,0
"1772062109_D10",5,1,2,0,1,4,2,0,1,4,0,1,1,3,0,6,0,2,4,0,2,2,7,0,2,2,4,3,2,0,2,0,2,2,3,5,7,0,1,4,5,1,4,4,2,1,7,4,6,3,1,1,3,2,2,8,5,1,0,1,4,3,4,1,3,5,5,10,2,0,4,1,9,1,19,1,3,1,3,25,3,2,2,0,2,1,0,3,0,2,2,0,6,2,2,1,24,23,1,3,3,8,10,2,4,6,7,1,10,1,51,8,3,2,0,5,8,3,2,13,4,3,1,2,0,4,5,4,5,0,3,3,1,6,2,1,1,0,0,10,4,3,1,7,17,3,6,1,14,0,14,0,0,5,12,14,4,4,12,2,12,4,5,6,0,2,3,67,84,1,4,4,2,2,3,2,1,3,16,3,15,0,1,9,1,2,4,2,4,2,0,4,2,3,1,2,3,8,0,3,2,0,3,3,0,1,0,7,0,3,21,13,10,9,15,51,11,8,3,368,7,7,2,7,1,2,4,2,8,2,3,0,3,0,10,3,3,3,1,7,1,0,0,2,9,2,4,2,2,6,1,6,2,2,4,1,2,2,3,2,2,1,2,0,5,3,1,1,1,7,1,10,1,2,1,7,3,7,1,0,9,0,4,2,2,6,2,2,2,5,2,7,2,3,5,2,4,2,0,6,6,6,5,3,11,3,2,7,1,2,2,2,4,0,6,1,1,3,2,12,1,4,4,6,2,1,0,4,0,1,2,3,0,4,2,9,2,1,5,3,2,1,10,1,1,0,0,0,1,5,1,2,0,0,11,6,2,5,2,4,2,4,6,5,8,0,2,5,8,3,10,1,2,4,1,5,4,3,1,0,8,2,7,1,1,8,2,6,11,3,3,11,5,0,1,7,4,0,3,1
"1772063077_A12",0,0,1,0,1,3,3,0,0,1,3,1,0,1,1,1,0,1,3,3,1,3,2,0,2,0,6,0,0,7,1,0,0,3,6,5,0,1,5,2,1,1,0,1,2,3,0,1,6,0,0,4,2,2,0,4,4,0,0,3,3,0,3,0,4,1,1,2,12,0,1,0,7,0,23,0,4,0,2,1,0,1,0,2,3,4,0,0,0,4,1,2,1,1,1,1,10,13,1,0,0,2,4,2,5,4,4,4,3,0,21,4,2,0,0,2,1,0,0,11,11,0,8,2,0,0,0,1,1,0,1,2,0,2,0,0,1,1,6,3,0,1,0,1,38,2,4,3,3,0,9,7,2,19,5,18,2,1,12,22,13,1,0,7,1,3,1,65,23,0,0,0,0,1,3,0,3,1,17,9,4,2,0,7,3,1,0,2,11,0,2,6,3,1,0,0,4,0,2,1,1,0,0,2,1,1,0,5,1,0,9,20,7,3,15,7,14,3,3,438,8,1,0,9,0,1,2,4,2,0,1,1,4,3,2,5,1,3,4,3,0,1,1,0,2,2,1,0,0,3,0,0,1,3,7,5,1,0,3,1,2,2,5,2,2,3,5,2,2,1,1,3,3,2,0,1,2,3,0,2,5,0,1,1,4,2,3,1,2,3,0,3,1,0,5,1,1,0,0,3,0,6,1,1,8,1,6,0,2,3,1,0,3,0,0,3,5,0,0,5,3,5,10,2,0,1,0,0,0,0,1,1,2,3,3,9,0,11,6,1,1,1,9,7,9,0,2,0,0,2,4,3,0,0,3,0,0,5,2,8,2,2,6,1,8,3,4,3,2,0,6,2,3,0,0,1,1,3,3,2,8,1,6,2,4,4,3,1,19,2,1,5,4,0,1,6,5,0,1,5
"1772063078_D05",8,2,4,9,2,15,3,2,8,1,2,5,2,13,0,4,3,1,3,0,3,2,8,2,11,6,4,0,2,2,1,5,5,5,2,6,6,12,8,3,4,4,2,4,6,5,3,4,3,15,2,2,2,4,0,1,6,2,0,2,2,7,3,4,2,1,1,4,14,3,5,1,7,4,15,4,3,2,1,0,3,1,3,2,3,1,2,4,3,4,1,5,0,6,1,1,45,29,0,6,1,5,2,4,5,4,9,1,3,4,20,7,2,0,9,7,5,4,2,9,6,6,11,10,1,8,2,3,8,5,4,1,4,1,7,6,4,19,0,1,9,3,3,7,23,5,5,6,5,4,23,1,2,5,0,9,9,12,9,7,5,0,4,23,5,1,0,45,19,2,1,0,3,1,3,1,2,4,19,9,19,3,4,4,6,1,4,0,2,1,4,7,0,1,5,1,1,3,0,5,6,3,2,5,6,2,10,2,0,0,12,0,12,3,6,2,5,5,11,498,5,3,2,8,4,4,4,2,4,4,8,8,2,2,4,1,5,0,1,5,4,1,1,1,3,3,1,1,2,3,3,8,1,3,1,5,2,1,2,5,1,1,4,2,4,2,1,2,1,2,1,5,8,0,1,1,3,4,0,8,1,1,1,0,4,7,1,1,4,10,5,4,4,0,3,4,4,0,0,2,3,5,2,1,5,0,2,3,0,6,4,9,2,1,4,4,6,1,1,1,4,8,11,6,3,2,3,0,4,0,1,3,4,4,1,4,2,1,3,1,5,4,2,7,3,1,5,2,2,8,1,0,7,2,6,4,3,1,0,1,1,4,4,7,7,3,0,12,6,2,2,0,3,6,1,3,2,1,5,2,6,1,12,2,6,1,2,2,9,2,0,9,7,2,1,1,1,2,4,1
"1772063078_B08",9,8,10,19,8,26,12,1,14,13,3,4,9,29,2,11,7,2,11,4,7,5,16,10,11,3,4,3,5,5,4,7,8,3,7,4,4,10,9,7,6,4,10,9,3,3,5,9,3,8,1,4,7,1,5,4,14,5,5,11,4,13,7,5,5,15,5,11,23,8,11,2,26,2,35,7,4,2,6,7,9,3,1,13,10,10,5,11,5,3,8,8,3,4,3,3,89,57,6,5,7,4,12,7,11,10,8,8,2,10,33,18,5,2,11,9,16,17,7,16,12,21,15,14,7,4,7,4,24,4,4,9,8,8,12,4,6,20,9,3,16,3,6,8,51,6,3,12,12,1,60,2,8,16,11,33,9,25,4,16,9,11,2,32,5,5,2,101,37,4,2,2,5,8,7,0,2,6,25,3,24,3,16,13,14,3,5,3,14,5,10,8,3,6,11,7,2,4,12,7,12,4,2,11,7,6,16,15,6,2,15,8,14,1,9,12,15,6,16,588,21,11,5,5,2,8,8,7,10,3,4,5,5,4,14,1,9,2,9,5,5,0,3,1,8,2,3,2,1,6,6,5,4,9,5,1,3,3,4,0,0,1,4,0,7,0,3,6,2,7,3,6,0,11,4,0,4,5,6,4,10,0,7,0,3,19,4,7,6,19,0,5,9,8,8,12,15,5,4,7,2,5,3,6,11,4,2,11,6,14,6,8,5,5,2,6,11,6,5,3,12,6,7,8,3,5,5,1,4,1,2,5,3,12,4,7,0,4,13,3,10,4,4,0,5,0,1,2,2,5,11,3,6,3,11,9,11,9,9,3,2,6,6,4,2,4,6,11,11,1,18,1,1,9,9,5,7,4,3,4,10,2,6,5,4,3,4,10,21,10,2,19,8,0,5,6,13,4,11,6
